Batter,Inns,Runs,Balls,Outs,Fifties,Centuries,Expected Runs,Expected Outs,Expected Fifties,Expected Centuries,Expected Runs 2,Expected Outs 2,Expected Fifties 2,Expected Centuries 2,Ave,SR,InnsPerCentury,expected_ave,expected_sr,expinnsPerCentury,Ave Ratio,SR Ratio,Cen Ratio,expected_ave_present,expected_sr_present,Adjusted Ave,Adjusted Sr,Present Centuries
A Phillip,2,22,25,1,0,0,16.84566770470782,1.7733559259937717,0.0,0.0,17.05798678359622,1.6758856715901627,0.0035038401011473225,0.0,22.0,88.0,inf,9.499315652196369,67.38267081883129,inf,2.315956307327603,1.3059737604732466,,10.178490736429989,68.23194713438488,23.57293982011061,89.10913258350439,
A Ranatunga,255,7456,9571,208,49,4,6922.74658556933,240.49757457536373,34.69097398242441,2.5567521024276285,8083.593888911009,250.220884986616,41.79728776701825,6.769312812426023,35.84615384615385,77.90199561174381,63.75,28.785099383195558,72.33044180931282,99.73591094650055,1.245302417370859,1.0770291686745046,1.5644848775921654,32.30583206251305,84.45924029788956,40.2305307626245,90.96506536491621,10.590487526731403
A Ratra,8,90,127,7,0,0,96.53553684433292,3.827999557148862,0.543997668997669,0.030303030303030304,110.7023281219648,4.608307565598846,0.5551075543984316,0.057120912308097405,12.857142857142858,70.86614173228347,inf,25.218272730479026,76.01223373569522,264.0,0.5098343964534733,0.9322991609310495,0.0,24.022339339579023,87.16718749761007,12.2474148785948,81.26589576474133,0.0
A Saud,11,189,387,11,1,0,315.9607537521103,9.905528616380263,1.9691943787484965,0.5954446659369801,330.01498613382637,9.468836663585295,2.0048633626679018,0.7744326076887448,17.181818181818183,48.837209302325576,inf,31.897414664939966,81.64360562070033,18.47358894833765,0.5386586456081525,0.5981755574247096,0.0,34.85274884960039,85.275190215459,18.773734491046838,51.009534441630336,0.0
A Shahzad,8,39,60,6,0,0,44.467052360524505,3.793096267067882,0.08373318285185471,0.0,45.75952351099562,3.4539883365048496,0.07640616338215821,0.001878522229179712,6.5,65.0,inf,11.723154180555026,74.11175393420751,inf,0.5544582882635313,0.8770538618975818,,13.248314427517862,76.26587251832603,7.345637739858599,66.8892780231865,
A Shamshudeen,1,3,28,1,0,0,22.78631016042781,0.8115508021390374,0.11042944785276074,0.012269938650306749,24.2636855169229,0.8480113909680399,0.1226215644820296,0.0153276955602537,3.0,10.714285714285714,inf,28.07749077490775,81.37967914438504,81.5,0.10684715468524116,0.13165799898616298,0.0,28.61245235069886,86.65601970329607,3.057159122239213,11.408958154241473,0.0
A Sharafu,17,257,376,17,0,0,307.31307137248206,10.325629201211186,2.3840627767882157,0.3956122838930794,317.27264438977863,10.352282628021086,2.44362577329454,0.5819271197476439,15.117647058823529,68.35106382978722,inf,29.76216416297755,81.73219983310693,42.971365380035884,0.5079485139601853,0.8362807310870951,0.0,30.647602638958052,84.38102244409006,15.567404216900995,70.56622313942022,0.0
A Sharma,11,189,262,11,1,0,226.36127050505894,6.733171443330287,2.010273046769397,0.6281968099486348,223.4209983645026,6.410426888525445,2.0048633626679018,0.7744326076887448,17.181818181818183,72.13740458015268,inf,33.61881877065329,86.39743149048051,17.510435942677624,0.5110773908813424,0.8349484855704414,0.0,34.85274884960039,85.275190215459,17.812451947096474,71.20039092712882,0.0
A Symonds,161,5088,5504,128,30,6,4156.590561849238,136.7075461968511,24.136964174693826,2.9890813563847707,4649.195632908664,145.09319238639605,25.249466707926306,4.135711864470465,39.75,92.44186046511628,26.833333333333332,30.404982588627433,75.51945061499342,53.86270255110286,1.3073515133295273,1.2240801503760295,2.007305685134268,32.04282403910063,84.4693974002301,41.89123449886996,103.39731267184625,8.301637937628808
A Turner,6,247,309,6,0,1,173.56276939655174,4.994612068965518,1.1142857142857143,0.2571428571428571,263.50033776576834,7.560388963947949,1.093561834182492,0.4224177860120426,41.166666666666664,79.93527508090615,6.0,34.75,56.16918103448276,23.333333333333336,1.184652278177458,1.4231162642701374,3.8888888888888893,34.85274884960039,85.275190215459,41.28838832542588,121.35651013434939,1.642735834491277
A Vala,65,1961,2820,64,12,1,2312.1241484474476,62.259728644826794,13.161737830462933,4.185716465371076,2319.699553694894,62.23643411750561,13.11392621741688,4.0495837670096595,30.640625,69.53900709219857,65.0,37.1367527416868,81.99021803005134,15.529002152380036,0.8250755043966255,0.8481378481846565,0.23890772542123134,37.27237247100599,82.25884942180474,30.752521516574163,69.76684354275515,0.9674768466790195
A Zampa,53,347,524,34,0,0,382.078440381629,32.33883933506549,0.19776545673493628,0.0,374.26667608462344,33.10775933338303,0.2434647208909655,0.001878522229179712,10.205882352941176,66.22137404580153,inf,11.814847045773087,72.91573289725744,inf,0.8638184069079812,0.9081904743261833,,11.304500323199008,71.42493818408843,9.765035460076525,64.86744848812559,
A van der Merwe,6,15,25,4,0,0,17.20201238390093,2.0317337461300307,0.040268456375838924,0.0,17.478522717208396,1.6451155787795588,0.01495016611295681,0.0,3.75,60.0,inf,8.466666666666669,68.80804953560371,inf,0.44291338582677153,0.8719910011248594,,10.62449528936743,69.91409086883358,4.705731181314313,60.964458089448584,
AA Donald,40,95,279,22,0,0,158.4490416100939,20.403035256117164,0.028169014084507043,0.0,161.69779612414632,20.800583888821116,0.04788357297537224,0.0,4.318181818181818,34.05017921146953,inf,7.765954409287622,56.791771186413584,inf,0.5560400680459221,0.5995618467278131,,7.773714285542137,57.956199327651014,4.322496620302406,34.74832589821168,
AA Jangoo,1,104,83,0,0,1,67.87176560121766,2.1792237442922375,0.1569767441860465,0.005813953488372093,71.92449635373573,2.5137480517981183,0.1226215644820296,0.0153276955602537,inf,125.30120481927712,1.0,31.144927536231886,81.77321156773212,172.0,inf,1.5323013786182422,172.0,28.612452350698852,86.65601970329607,inf,132.78313845693012,2.6363636363636362
AA Mallett,3,14,36,2,0,0,26.02365680391751,1.5410200703496792,0.3333333333333333,0.0,29.154031672491893,1.7916717735373253,0.052084300889662025,0.001878522229179712,7.0,38.88888888888889,inf,16.88729258277108,72.28793556643754,inf,0.4145128631893077,0.5379720500269004,,16.271971296914856,80.98342131247747,6.7449414120184095,43.566817181665684,
