Bowler,Team,BowlType,Start Date,Ground,Host Country,year,isWorldCup,isICC,Matches,Inn,Runs,Balls,Wickets,Matches_grouped,Inn_grouped,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,inn_diff,matches_diff,AveforWicket,RunRate,AveWicket,AveRR,Home,HomeorAway,Period
A Zampa,AUS,Spin,16 Oct 2023,Lucknow,India,2023,WorldCup,ICC,1,1,47,48,4,14,5,198,221,6,151,173,2,4,13,75.5,5.2369942196531785,>30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,19 Nov 2023,Ahmedabad,India,2023,WorldCup,ICC,1,1,44,60,1,14,5,182,228,2,138,168,1,4,13,138.0,4.928571428571429,>30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,20 Jun 2019,Nottingham,England,2019,WorldCup,ICC,1,1,68,54,1,13,4,202,168,1,134,114,0,3,12,inf,7.052631578947369,>30,>=6 rpo,ENG,Away,After 1965
A Zampa,AUS,Spin,20 Oct 2023,Bengaluru,India,2023,WorldCup,ICC,1,1,53,60,4,13,5,255,234,5,202,174,1,4,12,202.0,6.9655172413793105,>30,>=6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,25 Oct 2023,Delhi,India,2023,WorldCup,ICC,1,1,8,18,4,13,4,127,114,5,119,96,1,3,12,119.0,7.4375,>30,>=6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,28 Oct 2023,Dharamsala,India,2023,WorldCup,ICC,1,1,74,60,3,11,5,309,288,9,235,228,6,4,10,39.166666666666664,6.184210526315789,>30,>=6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,4 Nov 2023,Ahmedabad,India,2023,WorldCup,ICC,1,1,21,60,3,12,5,157,210,6,136,150,3,4,11,45.333333333333336,5.4399999999999995,>30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,6 Jun 2019,Nottingham,England,2019,WorldCup,ICC,1,1,58,60,1,12,3,120,126,1,62,66,0,2,11,inf,5.636363636363637,>30,<6 rpo,ENG,Away,After 1965
A Zampa,AUS,Spin,7 Nov 2023,Wankhede,India,2023,WorldCup,ICC,1,1,58,60,1,13,7,317,323,4,259,263,3,6,12,86.33333333333333,5.908745247148289,>30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,8 Oct 2023,Chennai,India,2023,WorldCup,ICC,1,1,53,48,0,13,5,190,276,6,137,228,6,4,12,22.833333333333332,3.6052631578947367,<=30,<6 rpo,IND,Away,After 1965
A Zampa,AUS,Spin,9 Jun 2019,The Oval,England,2019,WorldCup,ICC,1,1,50,36,0,12,5,226,198,2,176,162,2,4,11,88.0,6.518518518518518,>30,>=6 rpo,ENG,Away,After 1965
AA Donald,SA,Pace,10 Jun 1999,Birmingham,England,1999,WorldCup,ICC,1,1,42,60,0,17,12,480,600,11,438,540,11,11,16,39.81818181818182,4.866666666666667,>30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,10 Mar 1992,Canberra,Australia,1992,WorldCup,ICC,1,1,25,57,1,13,10,255,496,10,230,439,9,9,12,25.555555555555557,3.143507972665148,<=30,<6 rpo,AUS,Away,Upto 2014
